Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,P5_109,P5_152,P8_139,P8_229,P8_241,P8_250,P8_72,P9_191,P9_2,P9_31,P9_32,P9_35,P9_87,PS92,pcl1606,sbw25,xl272
fba,fba,fructose-bisphosphate aldolase class II,17,17,1.0,1,5355,,,,1065,1065,1065.0,AEKEPN_29350,HMDFDK_17415,DGIGOC_20340,OELDID_11190,NDFCFG_02520,NFOGGK_27385,DILMCD_05890,CJMOAC_03035,GGGPIC_26170,KLDNLM_27805,KAGCPN_27615,NDMAAC_27615,CELEIN_27440,FNPKGJ_28880,OFJEOJ_02135,OGPOLJ_28630,MOKLEP_12180
queA,queA,tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA,17,17,1.0,1,5350,,,,1065,1065,1065.0,AEKEPN_05085,HMDFDK_20665,DGIGOC_23765,OELDID_07765,NDFCFG_25065,NFOGGK_23965,DILMCD_09315,CJMOAC_06955,GGGPIC_23075,KLDNLM_24465,KAGCPN_05970,NDMAAC_05960,CELEIN_24035,FNPKGJ_25635,OFJEOJ_06430,OGPOLJ_25375,MOKLEP_16525
group_4569,,45-dioxygenase,17,17,1.0,1,5349,,,,330,339,331.125,AEKEPN_00145,HMDFDK_15340,DGIGOC_17790,OELDID_13740,NDFCFG_00415,NFOGGK_01285,DILMCD_03475,CJMOAC_00525,GGGPIC_01040,KLDNLM_00870,KAGCPN_01255,NDMAAC_01250,CELEIN_00155,FNPKGJ_00145,OFJEOJ_30060,OGPOLJ_00145,16_refound_69070
group_4563,,phosphorylcholine phosphatase,17,17,1.0,1,5343,,,,1068,1068,1068.0,AEKEPN_29865,HMDFDK_16960,DGIGOC_19835,OELDID_11695,NDFCFG_02050,NFOGGK_27890,DILMCD_05410,CJMOAC_02525,GGGPIC_26655,KLDNLM_28285,KAGCPN_28105,NDMAAC_28105,CELEIN_27930,FNPKGJ_29370,OFJEOJ_01660,OGPOLJ_29120,16_refound_67015
group_4555,,Tetratricopeptide-like helical protein,17,17,1.0,1,5335,,,,750,786,768.0,AEKEPN_04050,HMDFDK_11560,DGIGOC_13820,OELDID_17710,NDFCFG_26010,NFOGGK_05255,DILMCD_22560,CJMOAC_20330,GGGPIC_05000,KLDNLM_05730,10_refound_45135,11_refound_49375,CELEIN_04200,13_refound_57744,OFJEOJ_26030,15_refound_66069,16_refound_69069
mtnD,mtnD;,Acireductone dioxygenase;acireductone dioxygenase,17,17,1.0,1,5333,,,,534,606,553.0588235294117,AEKEPN_08960,HMDFDK_22775,DGIGOC_09015,OELDID_22515,NDFCFG_08585,NFOGGK_10060,DILMCD_26790,CJMOAC_09720,GGGPIC_19350,KLDNLM_10655,KAGCPN_21565,NDMAAC_21570,CELEIN_09175,FNPKGJ_21795,OFJEOJ_09090,OGPOLJ_21665,MOKLEP_00990
group_4551,,Autotransporter domain-containing protein;autotransporter outer membrane beta-barrel domain-containing protein,17,18,1.0588235294117647,1,5330,,,,363,1302,975.75,0_refound_3725,1_refound_7934,2_refound_12106,3_refound_16181,4_refound_20298,5_refound_24451,6_refound_28642,7_refound_32674,GGGPIC_00570,9_refound_40950,10_refound_45132,11_refound_49372,12_refound_53622,FNPKGJ_30710,14_refound_61865,OGPOLJ_30450;OGPOLJ_30445,16_refound_69068
hemE,hemE,uroporphyrinogen decarboxylase,17,17,1.0,1,5329,,,,1068,1068,1068.0,AEKEPN_02010,HMDFDK_13525,DGIGOC_15825,OELDID_15705,NDFCFG_27790,NFOGGK_03250,DILMCD_01435,CJMOAC_22705,GGGPIC_02985,KLDNLM_03760,KAGCPN_03275,NDMAAC_03270,CELEIN_02085,FNPKGJ_02380,OFJEOJ_28015,OGPOLJ_02140,MOKLEP_12805
group_4550,,phosphotransferase family protein,17,17,1.0,1,5328,,,,1068,1068,1068.0,AEKEPN_14275,HMDFDK_25920,DGIGOC_01240,OELDID_01620,NDFCFG_12810,NFOGGK_17825,DILMCD_21515,CJMOAC_14095,GGGPIC_12865,KLDNLM_14005,KAGCPN_17190,NDMAAC_17185,CELEIN_11425,FNPKGJ_16400,OFJEOJ_17710,OGPOLJ_17390,MOKLEP_02375
group_4549,,vanillate O-demethylase oxidoreductase VanB;Vanillate O-demethylase oxidoreductase VanB,17,17,1.0,1,5327,,,,459,489,475.875,AEKEPN_22380,HMDFDK_23795,DGIGOC_27560,OELDID_03970,NDFCFG_08300,NFOGGK_20175,DILMCD_13165,CJMOAC_10925,GGGPIC_10260,KLDNLM_20520,KAGCPN_20165,NDMAAC_20175,CELEIN_20020,FNPKGJ_10355,OFJEOJ_10375,OGPOLJ_10385,16_refound_69067
mutY,mutY,A/G-specific adenine glycosylase,17,17,1.0,1,5325,,,,1068,1068,1068.0,AEKEPN_01485,HMDFDK_13980,DGIGOC_16300,OELDID_15230,NDFCFG_28265,NFOGGK_02775,DILMCD_01910,CJMOAC_22205,GGGPIC_02515,KLDNLM_03265,KAGCPN_02775,NDMAAC_02770,CELEIN_01605,FNPKGJ_01885,OFJEOJ_28515,OGPOLJ_01645,MOKLEP_09625
group_4547,,imelysin,17,17,1.0,1,5324,,,,1071,1071,1071.0,AEKEPN_25545,HMDFDK_21235,DGIGOC_24475,OELDID_07055,NDFCFG_06040,NFOGGK_23250,DILMCD_10020,CJMOAC_07685,GGGPIC_22545,KLDNLM_23700,KAGCPN_22650,NDMAAC_22655,CELEIN_23085,FNPKGJ_25100,OFJEOJ_07090,OGPOLJ_24845,MOKLEP_06340
group_4544,,Type III secretion system lipoprotein chaperone (YscW),17,17,1.0,1,5321,,,,240,405,394.0,AEKEPN_05875,HMDFDK_10205,DGIGOC_12365,OELDID_19165,NDFCFG_24340,NFOGGK_06710,DILMCD_24005,CJMOAC_18840,GGGPIC_07195,9_refound_40948,KAGCPN_06535,NDMAAC_06525,CELEIN_05720,FNPKGJ_06645,OFJEOJ_24625,OGPOLJ_06305,16_refound_69063
group_4543,,hypothetical protein,17,17,1.0,1,5320,,,,216,258,222.0,0_refound_3722,HMDFDK_19505,DGIGOC_22560,OELDID_08970,4_refound_20295,NFOGGK_25165,DILMCD_08140,CJMOAC_05455,GGGPIC_04880,KLDNLM_25550,KAGCPN_25200,NDMAAC_25210,CELEIN_25125,FNPKGJ_04350,OFJEOJ_04840,OGPOLJ_04025,16_refound_69064
group_4541,,2-nitropropane dioxygenase,17,17,1.0,1,5318,,,,1071,1071,1071.0,AEKEPN_17170,HMDFDK_00460,DGIGOC_05095,OELDID_26435,NDFCFG_16265,NFOGGK_13975,DILMCD_17005,CJMOAC_25425,GGGPIC_13725,KLDNLM_16345,KAGCPN_17725,NDMAAC_17720,CELEIN_16075,FNPKGJ_13980,OFJEOJ_13270,OGPOLJ_14850,16_refound_66771
group_4539,,cell filamentation protein Fic;Cell filamentation protein Fic,17,17,1.0,1,5316,,,,1365,1440,1383.75,AEKEPN_05865,HMDFDK_10210,2_refound_12103,3_refound_16178,4_refound_20294,5_refound_24448,DILMCD_23995,7_refound_32672,8_refound_36830,KLDNLM_24200,10_refound_45130,11_refound_49370,12_refound_53620,13_refound_57741,14_refound_61862,15_refound_66066,16_refound_69062
group_4531,,TetR family transcriptional regulator;HTH tetR-type domain-containing protein,17,17,1.0,1,5308,,,,606,642,625.6153846153846,AEKEPN_20335,HMDFDK_04690,DGIGOC_06895,OELDID_24635,4_refound_20293,NFOGGK_12180,6_refound_28638,CJMOAC_25310,GGGPIC_15015,9_refound_40946,KAGCPN_15510,NDMAAC_15505,CELEIN_17790,FNPKGJ_13410,OFJEOJ_18585,OGPOLJ_13835,16_refound_69060
group_4527,,TRZ/ATZ family hydrolase,17,17,1.0,1,5304,,,,1152,1335,1324.235294117647,AEKEPN_23485,HMDFDK_22960,DGIGOC_26675,OELDID_04855,NDFCFG_22600,NFOGGK_21060,DILMCD_12290,CJMOAC_09875,GGGPIC_08910,KLDNLM_21460,KAGCPN_09300,NDMAAC_09295,CELEIN_20930,FNPKGJ_08890,OFJEOJ_09240,OGPOLJ_08225,MOKLEP_18060
group_4521,,hypothetical protein;DUF2170 domain-containing protein,17,17,1.0,1,5298,,,,582,720,645.6666666666666,0_refound_3721,1_refound_7929,DGIGOC_21470,OELDID_10060,4_refound_20290,NFOGGK_26255,DILMCD_07020,7_refound_32668,8_refound_36827,KLDNLM_26625,KAGCPN_26240,NDMAAC_26240,CELEIN_26290,13_refound_57738,OFJEOJ_16810,15_refound_66063,16_refound_69059
group_4516,,Protein kinase;Protein kinase domain-containing protein,17,17,1.0,1,5292,,,,1314,1371,1337.2941176470588,AEKEPN_21180,HMDFDK_06485,DGIGOC_07660,OELDID_23870,NDFCFG_10160,NFOGGK_11415,DILMCD_14510,CJMOAC_11705,GGGPIC_17545,KLDNLM_19920,KAGCPN_10965,NDMAAC_10960,CELEIN_18605,FNPKGJ_18500,OFJEOJ_11450,OGPOLJ_19465,MOKLEP_02320
group_4509,,Putative signal-transduction protein containing cAMP-binding;cyclic nucleotide-binding protein,17,17,1.0,1,5285,,,,1941,1986,1956.8823529411766,AEKEPN_28930,HMDFDK_17770,DGIGOC_20725,OELDID_10805,NDFCFG_02835,NFOGGK_27000,DILMCD_06270,CJMOAC_03460,GGGPIC_25750,KLDNLM_27445,KAGCPN_27220,NDMAAC_27220,CELEIN_27060,FNPKGJ_28495,OFJEOJ_02705,OGPOLJ_28255,MOKLEP_12255
sohB,sohB,protease SohB,17,17,1.0,1,5280,,,,1035,1083,1037.8235294117646,AEKEPN_17535,HMDFDK_25690,DGIGOC_05465,OELDID_26065,NDFCFG_17090,NFOGGK_13605,DILMCD_16555,CJMOAC_30990,GGGPIC_15945,KLDNLM_18365,KAGCPN_11630,NDMAAC_11625,CELEIN_16450,FNPKGJ_12630,OFJEOJ_12315,OGPOLJ_13060,MOKLEP_02360
group_4503,folE,GTP cyclohydrolase I FolE,17,17,1.0,1,5278,,,,561,579,564.1764705882352,AEKEPN_04495,HMDFDK_11135,DGIGOC_13315,OELDID_18215,NDFCFG_25570,NFOGGK_05760,DILMCD_23010,CJMOAC_19905,GGGPIC_23295,KLDNLM_06210,KAGCPN_24415,NDMAAC_24425,CELEIN_04675,FNPKGJ_26080,OFJEOJ_25585,OGPOLJ_25785,MOKLEP_00760
group_4498,,hypothetical protein;Phage antirepressor protein,17,17,1.0,1,5273,,,,210,534,487.7142857142857,0_refound_3715,1_refound_7922,DGIGOC_10960,OELDID_20570,4_refound_20284,NFOGGK_08115,DILMCD_04690,7_refound_32664,8_refound_36821,KLDNLM_22770,10_refound_45123,11_refound_49363,12_refound_53613,FNPKGJ_24060,14_refound_61855,OGPOLJ_23815,16_refound_69050
group_4497,,hypothetical protein,17,17,1.0,1,5272,,,,189,195,189.75,AEKEPN_24160,HMDFDK_22315,DGIGOC_25960,OELDID_05570,NDFCFG_23245,NFOGGK_21765,DILMCD_11580,CJMOAC_09230,GGGPIC_20150,KLDNLM_22300,KAGCPN_22085,NDMAAC_22090,CELEIN_21625,FNPKGJ_22620,OFJEOJ_08625,OGPOLJ_22490,16_refound_69049
purN,purN,phosphoribosylglycinamide formyltransferase,17,17,1.0,1,5271,,,,642,663,661.7647058823529,AEKEPN_08500,HMDFDK_22325,DGIGOC_09500,OELDID_22030,NDFCFG_21015,NFOGGK_09575,DILMCD_26290,CJMOAC_09240,GGGPIC_20140,KLDNLM_10040,KAGCPN_22075,NDMAAC_22080,CELEIN_08680,FNPKGJ_22610,OFJEOJ_08635,OGPOLJ_22480,MOKLEP_16230
lysS,lysS,lysine--tRNA ligase,17,17,1.0,1,5268,,,,1527,1566,1529.2941176470588,AEKEPN_05745,HMDFDK_10320,DGIGOC_12475,OELDID_19055,NDFCFG_24450,NFOGGK_06600,DILMCD_23880,CJMOAC_18950,GGGPIC_07075,KLDNLM_24300,KAGCPN_06425,NDMAAC_06415,CELEIN_05595,FNPKGJ_06525,OFJEOJ_24735,OGPOLJ_06185,MOKLEP_04440
pcaQ,pcaQ,pca operon transcription factor PcaQ,17,17,1.0,1,5264,,,,879,930,904.5,0_refound_3713,HMDFDK_04735,2_refound_12096,3_refound_16171,NDFCFG_18100,5_refound_24441,6_refound_28634,CJMOAC_04930,8_refound_36819,9_refound_40939,10_refound_45121,11_refound_49361,12_refound_53611,13_refound_57732,OFJEOJ_04305,15_refound_66058,16_refound_69046
group_4491,,aldo/keto reductase,17,17,1.0,1,5263,,,,1077,1077,1077.0,0_refound_1743,1_refound_5903,2_refound_10078,3_refound_14150,4_refound_18278,5_refound_22432,6_refound_26532,7_refound_30579,GGGPIC_18230,9_refound_39130,10_refound_43286,11_refound_47519,12_refound_51652,FNPKGJ_19045,14_refound_60064,OGPOLJ_20005,16_refound_67799
rlmM,rlmM,23S rRNA (cytidine(2498)-2'-O)-methyltransferase RlmM,17,17,1.0,1,5261,,,,1077,1077,1077.0,AEKEPN_09685,HMDFDK_24570,DGIGOC_27580,OELDID_03950,NDFCFG_09215,NFOGGK_20155,DILMCD_13180,CJMOAC_27480,GGGPIC_08550,KLDNLM_11220,KAGCPN_10440,NDMAAC_10435,CELEIN_20005,FNPKGJ_08065,OFJEOJ_20455,OGPOLJ_07735,16_refound_66631
group_4489,,hypothetical protein;class V aminotransferase,17,17,1.0,1,5260,,,,276,1191,1133.8125,AEKEPN_24885,HMDFDK_21845,DGIGOC_25165,OELDID_06365,NDFCFG_06680,NFOGGK_22560,DILMCD_10715,CJMOAC_08325,GGGPIC_21795,KLDNLM_23060,KAGCPN_07560,NDMAAC_07555,CELEIN_22410,FNPKGJ_24430,OFJEOJ_07800,OGPOLJ_24165,16_refound_69045
group_4486,;ncs1,putative allantoin permease;hypothetical protein;nitrate reductase,17,18,1.0588235294117647,1,5256,,,,258,1614,1393.6,AEKEPN_09140;AEKEPN_09145,1_refound_7920,DGIGOC_08830,OELDID_22700,4_refound_20282,NFOGGK_10245,DILMCD_26965,CJMOAC_27085,GGGPIC_20810,KLDNLM_10840,KAGCPN_20355,NDMAAC_20365,CELEIN_09340,FNPKGJ_23390,OFJEOJ_20845,OGPOLJ_23165,16_refound_69043
bioC,bioC,malonyl-ACP O-methyltransferase BioC,17,17,1.0,1,5255,,,,825,858,826.9411764705883,AEKEPN_28865,HMDFDK_17830,DGIGOC_20785,OELDID_10745,NDFCFG_02895,NFOGGK_26940,DILMCD_06330,CJMOAC_03520,GGGPIC_25685,KLDNLM_27385,KAGCPN_27160,NDMAAC_27160,CELEIN_27000,FNPKGJ_28435,OFJEOJ_02765,OGPOLJ_28195,MOKLEP_08705
group_4485,,Pirin;pirin family protein,17,17,1.0,1,5254,,,,867,918,878.625,AEKEPN_08470,HMDFDK_07600,DGIGOC_09520,OELDID_22010,NDFCFG_21040,NFOGGK_09555,DILMCD_26265,CJMOAC_29980,GGGPIC_09715,KLDNLM_10020,KAGCPN_21335,NDMAAC_21340,CELEIN_08655,FNPKGJ_09845,OFJEOJ_21750,OGPOLJ_09200,16_refound_69042
group_4479,alr,alanine racemase,17,17,1.0,1,5246,,,,1080,1080,1080.0,AEKEPN_30740,HMDFDK_16235,DGIGOC_19040,OELDID_12490,NDFCFG_01355,NFOGGK_00035,DILMCD_04615,CJMOAC_01725,GGGPIC_00030,KLDNLM_00030,KAGCPN_00030,NDMAAC_00030,CELEIN_28740,FNPKGJ_30190,OFJEOJ_00820,OGPOLJ_29945,MOKLEP_07690
group_4478,,DUF748 domain-containing protein,17,17,1.0,1,5245,,,,1077,1077,1077.0,AEKEPN_07300,HMDFDK_08485,DGIGOC_25835,OELDID_05695,NDFCFG_22135,NFOGGK_21890,DILMCD_25660,CJMOAC_16930,GGGPIC_08530,KLDNLM_08940,KAGCPN_08475,NDMAAC_08470,CELEIN_07485,FNPKGJ_08045,OFJEOJ_22955,OGPOLJ_07715,MOKLEP_17000
group_4477,,DUF2164 domain-containing protein,17,17,1.0,1,5244,,,,255,261,260.29411764705884,AEKEPN_01515,HMDFDK_13955,DGIGOC_16270,OELDID_15260,NDFCFG_28235,NFOGGK_02805,DILMCD_01880,CJMOAC_22230,GGGPIC_02540,KLDNLM_03295,KAGCPN_02805,NDMAAC_02800,CELEIN_01635,FNPKGJ_01910,OFJEOJ_28490,OGPOLJ_01670,MOKLEP_09600
thrH,thrH,bifunctional phosphoserine phosphatase/homoserine phosphotransferase ThrH,17,17,1.0,1,5243,,,,618,720,630.0,AEKEPN_09155,HMDFDK_24125,DGIGOC_08820,OELDID_22710,NDFCFG_08750,NFOGGK_10255,DILMCD_26975,CJMOAC_27095,GGGPIC_20800,KLDNLM_10850,KAGCPN_20345,NDMAAC_20355,CELEIN_09350,FNPKGJ_23380,OFJEOJ_20835,OGPOLJ_23155,MOKLEP_03540
aspS,aspS,aspartate--tRNA ligase,17,17,1.0,1,5242,,,,1776,1836,1786.5882352941176,AEKEPN_25160,HMDFDK_21575,DGIGOC_24895,OELDID_06635,NDFCFG_06405,NFOGGK_22830,DILMCD_10440,CJMOAC_08000,GGGPIC_22265,KLDNLM_23295,KAGCPN_23065,NDMAAC_23070,CELEIN_22690,FNPKGJ_24825,OFJEOJ_07435,OGPOLJ_24565,MOKLEP_06065
lptG,lptG,LPS export ABC transporter permease LptG,17,17,1.0,1,5239,,,,1080,1080,1080.0,AEKEPN_05270,HMDFDK_10650,DGIGOC_12805,OELDID_18725,NDFCFG_24870,NFOGGK_06270,DILMCD_23535,CJMOAC_19305,GGGPIC_06210,KLDNLM_06655,KAGCPN_23635,NDMAAC_23645,CELEIN_05255,FNPKGJ_05695,OFJEOJ_25065,OGPOLJ_05360,MOKLEP_16505
group_4473,,copper oxidase;Multicopper oxidase with three cupredoxin domains (Includes cell division protein FtsP and spore coat protein CotA),17,17,1.0,1,5237,,,,1320,1545,1385.1176470588234,AEKEPN_05400,HMDFDK_20845,DGIGOC_23950,OELDID_07580,NDFCFG_24760,NFOGGK_23780,DILMCD_09535,CJMOAC_07185,GGGPIC_06245,KLDNLM_06980,KAGCPN_06195,NDMAAC_06185,CELEIN_23815,FNPKGJ_05730,OFJEOJ_06625,OGPOLJ_05395,MOKLEP_04505
group_4471,,DUF4136 domain-containing protein,17,17,1.0,1,5235,,,,603,621,616.7647058823529,AEKEPN_03210,HMDFDK_12415,DGIGOC_14680,OELDID_16850,NDFCFG_26720,NFOGGK_04395,DILMCD_00300,CJMOAC_23865,GGGPIC_04045,KLDNLM_04935,KAGCPN_04530,NDMAAC_04525,CELEIN_03275,FNPKGJ_03460,OFJEOJ_26935,OGPOLJ_03220,MOKLEP_14090
group_4469,,Cyclic di-GMP phosphodiesterase Gmr,17,17,1.0,1,5233,,,,1080,1080,1080.0,AEKEPN_13985,1_refound_4277,DGIGOC_06700,OELDID_24830,4_refound_16675,NFOGGK_12375,DILMCD_15390,7_refound_29166,8_refound_33267,KLDNLM_13765,10_refound_41551,11_refound_45779,CELEIN_17660,13_refound_54193,14_refound_58315,15_refound_62497,16_refound_66700
group_4466,,hypothetical protein,17,17,1.0,1,5230,,,,162,195,173.76923076923077,AEKEPN_21360,HMDFDK_06640,DGIGOC_07830,OELDID_23700,NDFCFG_09585,NFOGGK_11245,DILMCD_14345,CJMOAC_11535,GGGPIC_17705,9_refound_40936,10_refound_45118,11_refound_49358,CELEIN_18770,FNPKGJ_18650,OFJEOJ_11310,OGPOLJ_19615,16_refound_69041
group_4465,,hypothetical protein;transcriptional regulator,17,17,1.0,1,5229,,,,90,894,793.5,AEKEPN_08260,1_refound_7917,DGIGOC_09775,OELDID_21755,4_refound_20279,NFOGGK_09300,6_refound_28632,7_refound_32660,8_refound_36813,KLDNLM_09820,10_refound_45117,11_refound_49357,12_refound_53608,FNPKGJ_09635,OFJEOJ_22020,OGPOLJ_08995,16_refound_69040
group_4464,,hypothetical protein,17,17,1.0,1,5228,,,,1080,1080,1080.0,0_refound_217,HMDFDK_13995,2_refound_8923,3_refound_12991,4_refound_17113,5_refound_21273,6_refound_25375,7_refound_29628,8_refound_33781,9_refound_37879,10_refound_42006,11_refound_46235,12_refound_50399,13_refound_54686,14_refound_58762,15_refound_62993,16_refound_67125
group_4463,,Nucleotide pyrophosphohydrolase,17,17,1.0,1,5227,,,,309,363,312.1764705882353,AEKEPN_03200,HMDFDK_12425,DGIGOC_14690,OELDID_16840,NDFCFG_26730,NFOGGK_04385,DILMCD_00310,CJMOAC_23855,GGGPIC_04035,KLDNLM_04925,KAGCPN_04520,NDMAAC_04515,CELEIN_03265,FNPKGJ_03450,OFJEOJ_26945,OGPOLJ_03210,MOKLEP_14100
group_4462,,1-acyl-sn-glycerol-3-phosphate acyltransferase,17,17,1.0,1,5226,,,,771,795,793.5882352941177,AEKEPN_06670,HMDFDK_09425,DGIGOC_11200,OELDID_20330,NDFCFG_07285,NFOGGK_07875,DILMCD_25070,CJMOAC_17825,GGGPIC_07835,KLDNLM_08100,KAGCPN_07915,NDMAAC_07910,CELEIN_06800,FNPKGJ_07355,OFJEOJ_23620,OGPOLJ_06990,MOKLEP_15115
group_4461,,acyl-CoA dehydrogenase,17,17,1.0,1,5225,,,,888,939,891.6428571428571,AEKEPN_06680,HMDFDK_09415,DGIGOC_11190,OELDID_20340,NDFCFG_07295,NFOGGK_07885,DILMCD_25080,CJMOAC_17815,8_refound_36812,KLDNLM_08110,KAGCPN_07925,NDMAAC_07920,CELEIN_06810,13_refound_57726,OFJEOJ_23610,15_refound_66052,MOKLEP_15125
hppD,hppD,4-hydroxyphenylpyruvate dioxygenase,17,17,1.0,1,5222,,,,1083,1083,1083.0,AEKEPN_17050,HMDFDK_00580,DGIGOC_03460,OELDID_28070,NDFCFG_16090,NFOGGK_15600,DILMCD_17120,CJMOAC_25550,GGGPIC_13865,KLDNLM_16230,KAGCPN_17615,NDMAAC_17610,CELEIN_15970,FNPKGJ_14110,OFJEOJ_13415,OGPOLJ_14980,MOKLEP_14215
group_4455,,Fe2OG dioxygenase domain-containing protein;2OG-Fe(II) oxygenase,17,17,1.0,1,5217,,,,483,633,624.1764705882352,AEKEPN_30115,HMDFDK_16800,DGIGOC_19675,OELDID_11855,NDFCFG_01895,NFOGGK_28050,DILMCD_05250,CJMOAC_02355,GGGPIC_26830,KLDNLM_28410,KAGCPN_28135,NDMAAC_28135,CELEIN_28085,FNPKGJ_29530,OFJEOJ_01495,OGPOLJ_29285,MOKLEP_09795
group_4454,,alpha/beta hydrolase,17,17,1.0,1,5216,,,,924,1008,962.1818181818181,AEKEPN_30125,1_refound_7916,2_refound_12093,3_refound_16168,NDFCFG_01885,5_refound_24438,DILMCD_05240,CJMOAC_02345,GGGPIC_26840,9_refound_40935,KAGCPN_28145,NDMAAC_28145,CELEIN_28095,FNPKGJ_29540,OFJEOJ_01485,OGPOLJ_29295,16_refound_69038
group_4448,,3-deoxy-7-phosphoheptulonate synthase,17,17,1.0,1,5210,,,,1068,1092,1089.1764705882354,AEKEPN_17295,HMDFDK_04415,DGIGOC_05225,OELDID_26305,NDFCFG_16900,NFOGGK_13845,DILMCD_16825,CJMOAC_24540,GGGPIC_10790,KLDNLM_18135,KAGCPN_11855,NDMAAC_11850,CELEIN_16175,FNPKGJ_10930,OFJEOJ_12585,OGPOLJ_10965,MOKLEP_15950
group_4447,,hypothetical protein,17,17,1.0,1,5209,,,,129,135,131.25,AEKEPN_17285,1_refound_7915,2_refound_12092,3_refound_16167,NDFCFG_16885,5_refound_24437,DILMCD_16835,CJMOAC_24550,GGGPIC_10800,9_refound_40934,10_refound_45116,11_refound_49356,CELEIN_16160,13_refound_57721,OFJEOJ_12595,15_refound_66048,MOKLEP_15935
group_4446,,two-component system response regulator;Two-component system response regulator;Response regulator receiver domain-containing protein,17,17,1.0,1,5208,,,,900,957,938.8235294117648,AEKEPN_31010,HMDFDK_15980,DGIGOC_18550,OELDID_12980,NDFCFG_01085,NFOGGK_00525,DILMCD_04150,CJMOAC_01335,GGGPIC_00415,KLDNLM_01730,KAGCPN_01590,NDMAAC_01585,CELEIN_29180,FNPKGJ_30570,OFJEOJ_00465,OGPOLJ_30320,MOKLEP_08480
group_4442,,amino acid amidase;alpha/beta hydrolase,17,17,1.0,1,5204,,,,891,942,931.8,0_refound_3710,1_refound_7914,2_refound_12091,3_refound_16166,4_refound_20278,5_refound_24436,6_refound_28630,CJMOAC_05425,GGGPIC_08855,KLDNLM_13385,10_refound_45115,11_refound_49355,12_refound_53607,FNPKGJ_08835,14_refound_61851,OGPOLJ_08170,16_refound_69036
group_4438,,pyridine nucleotide-disulfide oxidoreductase,17,17,1.0,1,5200,,,,1407,1443,1422.75,AEKEPN_20065,HMDFDK_25910,DGIGOC_00970,OELDID_01890,NDFCFG_11165,NFOGGK_18095,DILMCD_21125,CJMOAC_14080,GGGPIC_17275,KLDNLM_18860,KAGCPN_17205,NDMAAC_17200,CELEIN_11835,FNPKGJ_18210,OFJEOJ_17725,OGPOLJ_19170,16_refound_69035
group_4434,,alpha/beta fold hydrolase;3-oxoadipate enol-lactonase 2,17,17,1.0,1,5196,,,,807,825,822.6,AEKEPN_22765,HMDFDK_23580,DGIGOC_27310,OELDID_04220,4_refound_20276,NFOGGK_20425,DILMCD_12920,CJMOAC_10575,GGGPIC_09840,KLDNLM_20710,KAGCPN_09905,NDMAAC_09900,CELEIN_20275,FNPKGJ_09970,OFJEOJ_09865,OGPOLJ_09325,16_refound_69032
rnhA,rnhA,ribonuclease HI,17,17,1.0,1,5194,,,,444,471,459.70588235294116,AEKEPN_14510,HMDFDK_01485,DGIGOC_01580,OELDID_01280,NDFCFG_13010,NFOGGK_17485,DILMCD_16110,CJMOAC_26000,GGGPIC_15610,KLDNLM_14290,KAGCPN_16985,NDMAAC_16980,CELEIN_16965,FNPKGJ_12785,OFJEOJ_16720,OGPOLJ_13215,MOKLEP_02420
group_4431,,HTH gntR-type domain-containing protein;GntR family transcriptional regulator,17,17,1.0,1,5192,,,,693,711,707.4,AEKEPN_00590,HMDFDK_14885,DGIGOC_17270,OELDID_14260,NDFCFG_29090,NFOGGK_01805,DILMCD_02975,7_refound_32655,GGGPIC_01525,KLDNLM_00395,KAGCPN_02015,NDMAAC_02015,CELEIN_00660,FNPKGJ_00640,OFJEOJ_29545,OGPOLJ_00635,16_refound_69031
trxA,;trxA,peroxiredoxin,17,17,1.0,1,5191,,,,816,882,870.7058823529412,AEKEPN_22755,HMDFDK_23590,DGIGOC_27320,OELDID_04210,NDFCFG_08100,NFOGGK_20415,DILMCD_12930,CJMOAC_10585,GGGPIC_19565,KLDNLM_20700,KAGCPN_09915,NDMAAC_09910,CELEIN_20260,FNPKGJ_22025,OFJEOJ_09895,OGPOLJ_21895,MOKLEP_04205
group_4429,,glycoside hydrolase;glycosyltransferase family 1 protein,17,17,1.0,1,5188,,,,1092,1191,1122.6923076923076,AEKEPN_25260,1_refound_7911,DGIGOC_24795,OELDID_06735,NDFCFG_06305,NFOGGK_22930,DILMCD_10340,7_refound_32654,GGGPIC_22360,KLDNLM_23390,KAGCPN_23155,NDMAAC_23160,CELEIN_22790,13_refound_57717,OFJEOJ_07335,15_refound_66044,MOKLEP_17540
group_4425,,FAD-binding dehydrogenase,17,17,1.0,1,5184,,,,1728,1764,1756.8,AEKEPN_27490,1_refound_7912,2_refound_12089,3_refound_16164,4_refound_20274,5_refound_24434,DILMCD_07680,CJMOAC_13190,8_refound_36805,9_refound_40932,10_refound_45113,11_refound_49353,CELEIN_25590,13_refound_57718,OFJEOJ_04320,15_refound_66045,16_refound_69030
